Year,Month,Comp1,Comp2,Comp3,Comp4,Comp5
1996,Mar,10,55,19,70,39
2002,Aug,24,64,44,98,16
2007,Sep,84,62,38,83,29
1995,July,55,51,83,14,63
1990,Feb,42,87,65,28,10
1996,Nov,54,92,30,27,52
1994,Aug,26,55,15,10,40
2010,Aug,24,91,41,24,42
1998,Aug,94,13,28,62,21
2012,May,53,34,42,73,62
1998,Oct,61,66,29,85,46
2012,May,65,79,14,38,85
2007,Mar,16,20,71,12,84
1994,Mar,52,23,57,90,21
2000,Dec,73,19,55,72,24
1995,May,37,35,47,95,40
1997,June,23,23,28,26,14
2011,Aug,90,61,70,31,44
1999,May,37,97,18,54,43
2012,Nov,31,95,32,51,29
2012,Aug,37,11,42,26,51
1992,Aug,66,18,44,17,26
1990,June,64,93,44,74,61
2002,Feb,50,76,24,24,34
1990,Dec,53,86,39,39,91
2005,Aug,58,80,60,33,31
2011,Aug,87,29,53,94,38
1991,May,33,43,81,84,39
2005,June,53,98,32,42,85
2012,Feb,34,77,99,28,50
1995,Oct,43,87,15,76,50
1996,Nov,77,42,53,63,55
2012,Dec,25,61,76,50,88
1996,July,71,73,21,13,43
2012,Dec,99,44,52,75,12
2002,Mar,69,31,64,65,35
2007,Oct,98,33,50,67,37
1993,May,11,77,62,41,76
2003,May,46,57,81,17,96
1991,May,15,40,46,39,82
1991,Nov,22,69,86,62,46
2003,May,42,69,38,22,64
2010,Feb,46,71,41,11,81
1990,Oct,37,35,77,76,39
2001,April,25,73,63,57,14
2006,Aug,56,68,87,46,70
2004,April,27,32,63,97,70
2003,Aug,54,49,75,94,94
1990,Sep,65,95,78,45,75
1999,Sep,31,98,12,38,43
1992,Aug,76,42,61,61,19
1992,Mar,44,77,12,89,38
1996,Sep,20,22,40,71,65
2007,Feb,84,24,69,64,38
2003,Oct,22,37,90,90,15
2003,May,50,15,84,53,68
1997,Sep,12,47,63,54,45
1999,Feb,39,13,30,83,61
1995,June,60,78,43,66,73
1998,Feb,69,18,27,50,14
1998,June,90,36,11,49,65
1996,Oct,53,82,35,37,80
2011,April,12,69,35,42,81
2002,May,12,22,36,50,15
1992,April,43,86,78,12,79
2004,June,50,20,97,87,45
1991,May,64,55,34,27,94
2012,June,20,58,99,72,64
1997,Mar,58,59,94,53,57
1999,June,51,13,82,15,14
1998,Oct,91,95,20,81,85
2000,April,95,91,78,82,14
1993,Oct,94,63,15,29,48
2003,Aug,98,98,20,53,46
1997,Feb,34,69,38,41,63
2012,Aug,15,98,98,22,45
1996,June,96,91,72,17,79
2001,Sep,48,43,50,13,50
2000,Mar,45,65,77,20,14
2006,Mar,96,78,10,70,21
1991,July,30,90,16,54,87
1991,Feb,23,68,40,89,41
2004,July,57,33,94,79,54
1990,April,96,50,91,76,49
2006,Nov,50,19,39,17,94
1992,May,58,62,42,59,30
1990,June,55,66,69,95,90
2011,Dec,42,24,24,42,27
2011,April,91,76,98,85,11
1994,Aug,32,60,40,89,12
1996,Mar,41,17,57,63,88
1998,May,93,31,39,22,24
2006,Nov,70,98,79,59,25
1992,Oct,26,79,84,45,46
1997,Feb,20,39,23,79,56
1995,July,68,62,78,58,44
1991,May,58,55,92,59,56
2002,Mar,82,68,86,34,54
1998,June,69,60,70,24,42
2000,Jan,88,58,63,50,89
2011,July,51,46,40,49,86
2001,Aug,62,73,13,39,69
2004,Nov,58,44,35,75,16
1996,May,92,30,53,29,99
1990,Aug,84,92,11,14,38
2004,Feb,64,25,52,46,77
2008,July,67,75,24,37,98
2000,Sep,65,78,89,24,80
1996,Oct,46,56,56,90,84
1993,Nov,62,30,43,38,88
2012,Aug,23,74,43,16,73
2001,Feb,42,64,44,66,45
1992,Feb,57,41,51,43,86
2007,June,47,95,36,18,36
2007,July,74,95,84,29,23
1990,June,60,92,50,52,54
2011,Mar,43,78,60,66,16
1999,Dec,65,78,71,75,44
1999,Feb,59,85,14,65,29
1997,May,37,77,73,94,98
1991,Dec,18,80,80,98,18
2010,Jan,87,49,42,74,21
2001,May,63,80,31,53,85
1998,Sep,36,56,66,69,85
1998,Sep,29,19,60,56,28
2007,April,36,17,19,70,32
1993,June,68,71,92,55,72
2005,Mar,75,14,88,21,32
2004,Aug,64,97,53,53,41
1999,July,54,50,79,87,26
2008,Feb,95,74,40,29,77
2010,Aug,48,79,74,15,97
2004,Mar,34,20,30,46,35
2004,July,97,59,31,70,40
1993,Nov,80,59,68,21,45
2003,April,14,24,33,31,77
2007,Nov,50,93,21,37,84
2005,July,52,64,37,85,83
2000,Sep,52,17,84,30,89
1991,Dec,56,61,27,81,20
2004,Aug,56,88,81,92,71
2010,Sep,53,52,65,27,73
2007,April,39,67,94,89,43
1996,Oct,30,16,43,11,32
1991,Nov,78,39,84,57,92
1998,Jan,95,52,70,17,95
2000,July,39,70,56,87,29
2002,Oct,72,11,85,18,18
2000,July,18,61,12,15,26
1994,Nov,24,23,82,87,15
2008,Aug,34,52,84,87,61
2011,April,81,96,15,54,58
2001,Dec,35,53,10,42,93
2009,Nov,12,22,81,16,60
1994,Jan,19,39,36,97,64
1998,July,42,37,60,61,80
2006,Mar,54,57,37,19,57
1998,April,68,43,50,14,96
2005,Jan,40,61,30,84,43
1998,June,80,11,84,43,56
1994,July,47,28,25,41,85
2000,Nov,35,66,56,78,85
2001,June,11,57,37,38,27
1992,July,44,26,73,56,76
1992,Oct,36,66,37,63,91
1999,Oct,13,87,43,92,67
1991,Jan,72,28,46,78,94
2009,Nov,42,45,49,25,24
1994,June,20,40,32,36,18
2003,Jan,45,42,14,61,74
2011,Dec,92,26,80,75,30
1991,Nov,30,66,74,56,48
1994,May,41,37,58,85,47
1990,Dec,77,26,67,56,27
2000,Sep,48,45,77,78,38
2000,Aug,90,14,88,14,82
1992,Oct,18,69,10,85,53
2011,Oct,21,43,18,62,62
1995,Sep,55,13,24,72,25
1995,May,68,45,83,31,53
2008,Mar,78,34,27,73,96
2004,Oct,27,72,27,55,64
2000,Dec,53,11,12,36,60
2006,Sep,23,62,12,13,46
2012,June,52,51,32,93,79
1991,Aug,58,78,72,28,86
2009,Jan,42,81,64,90,18
1999,Sep,66,93,81,16,78
1993,Nov,12,97,97,32,79
2007,Jan,62,62,70,15,63
2012,Sep,38,29,34,11,66
1997,Jan,78,34,30,97,99
1998,Sep,68,34,33,22,23
2005,Jan,21,74,84,61,92
1991,Feb,22,57,69,80,97
2005,April,23,44,61,90,69
2002,Feb,36,25,39,50,34
2000,July,34,14,93,80,38
1994,Sep,61,15,64,86,10
2008,Jan,36,91,95,60,71
1994,Mar,56,64,41,87,96
2002,Dec,84,77,23,66,86
2004,July,89,23,41,74,91
2005,July,36,78,88,25,95
2006,April,70,14,79,51,41
2006,Sep,66,29,23,89,49
2007,Mar,97,17,30,89,44
2009,June,44,65,80,72,40
2004,Sep,32,99,81,32,21
1998,Dec,43,41,63,17,29
2008,Mar,30,48,97,89,93
1996,Nov,13,45,13,39,14
2003,Dec,48,33,32,45,89
2003,Jan,23,23,63,66,33
1996,June,98,55,70,41,78
2009,Feb,96,25,59,41,26
1992,Aug,26,42,73,85,55
1990,Feb,57,40,40,52,86
2003,Jan,65,18,49,55,84
1993,June,38,12,33,76,34
2005,June,33,94,27,98,61
2011,June,23,30,78,89,54
2008,Nov,79,47,85,52,95
1994,Feb,81,59,39,16,89
2009,Feb,16,63,85,37,50
1997,Aug,39,54,42,88,10
1996,Jan,24,12,50,30,59
2008,April,50,77,52,84,56
2001,May,50,47,12,25,79
1990,May,52,17,99,34,73
1994,Aug,67,91,43,72,87
1995,Mar,58,36,55,52,46
2002,Oct,29,41,97,61,84
2001,Jan,14,38,91,85,40
2002,Mar,74,46,91,37,74
1993,April,31,80,99,17,16
1995,Jan,22,59,52,47,65
1991,April,18,97,72,61,31
2000,July,63,75,23,90,29
1994,June,54,64,20,28,80
1993,Feb,79,93,99,16,24
2001,Aug,68,12,40,76,78
1992,Dec,34,11,98,69,93
1999,June,32,92,77,32,88
2001,Jan,81,98,23,20,56
1995,June,16,64,69,77,92
2000,July,17,29,49,96,76
1993,July,10,79,36,88,53
1990,Sep,83,58,99,88,43
1997,Nov,35,14,24,86,40
1992,Mar,74,68,20,71,14
1991,Dec,85,43,69,38,21
2009,May,43,95,17,12,13
1991,Nov,67,40,79,52,47
2007,Jan,85,47,49,70,95
2004,Aug,69,97,85,19,50
1990,June,46,91,59,55,63
1990,Feb,71,13,93,47,63
2008,Nov,96,63,64,59,89
1991,Jan,30,16,10,52,73
